interpro	Class
IPR001073	Binding / Protein
IPR001075	Binding
IPR001078	Transferase
IPR001079	Binding / Sugar
IPR001083	Binding
IPR001085	Transferase
IPR030979	Transferase
IPR001088	Hydrolase
IPR001089	Factor
IPR027220	Factor
IPR027221	Factor
IPR027222	Factor
IPR027223	Factor
IPR027225	Factor
IPR028469	Factor
IPR027222	Binding
IPR001091	Binding
IPR001094	Binding
IPR010199	Binding
IPR029758	Binding
IPR023206	Binding
IPR023208	Binding
IPR028879	Binding
IPR001098	Binding
IPR001103	Binding
IPR001111	Factor
IPR001117	Oxidoreductase
IPR001124	Binding / Lipid
IPR001128	Oxidoreductase
IPR030904	Oxidoreductase
IPR002401	Oxidoreductase
IPR002403	Oxidoreductase
IPR002397	Oxidoreductase
IPR030958	Oxidoreductase
IPR031023	Oxidoreductase
IPR002399	Oxidoreductase
IPR008066	Oxidoreductase
IPR008067	Oxidoreductase
IPR008068	Oxidoreductase
IPR008069	Oxidoreductase
IPR008070	Oxidoreductase
IPR008071	Oxidoreductase
IPR020469	Oxidoreductase
IPR032971	Oxidoreductase
IPR033282	Oxidoreductase
IPR033283	Oxidoreductase
IPR002402	Oxidoreductase
IPR002974	Oxidoreductase
IPR008072	Oxidoreductase
IPR024204	Oxidoreductase
IPR027286	Oxidoreductase
IPR030681	Oxidoreductase
IPR030686	Oxidoreductase
IPR002949	Oxidoreductase
IPR001134	Binding / Protein
IPR001134	Cleavage / Inhibitor
IPR018933	Cleavage / Inhibitor
IPR001137	Hydrolase
IPR001138	Binding
IPR020448	Binding
IPR001148	Other
IPR001154	Binding
IPR028466	Binding
IPR028467	Binding
IPR001155	Binding
IPR001155	Oxidoreductase
IPR001156	Binding / Iron
IPR001164	Cleavage / Inhibitor
IPR028775	Cleavage / Inhibitor
IPR001173	Transferase / Sugar
IPR001174	Kinase
IPR014606	Kinase
IPR001177	Binding
IPR001178	Binding / Ligand
IPR015214	Binding / Ligand
IPR015790	Binding / Ligand
IPR001179	Isomerase / unfolded protein
IPR001189	Binding
IPR001190	Binding
IPR001190	Binding / Protein
IPR001193	Cleavage
IPR001199	Binding
IPR001202	Binding / Protein
IPR001203	Oxidoreductase
IPR001203	Binding
IPR013984	Oxidoreductase
IPR013984	Binding
IPR001205	Binding
IPR001206	Kinase
IPR001207	Binding
IPR001208	Binding
IPR001211	Binding
IPR001212	Binding
IPR020436	Binding
IPR001214	Binding / Protein
IPR001220	Binding / Sugar
IPR001222	Binding
IPR034004	Binding
IPR034012	Binding
IPR034014	Binding
IPR001223	Hydrolase
IPR011583	Hydrolase
IPR001226	Binding
IPR001227	Transferase
IPR014043	Transferase
IPR020801	Transferase
IPR014181	Transferase
IPR001235	Binding
IPR002386	Binding
IPR002387	Binding
IPR012745	Binding
IPR013475	Binding
IPR023511	Binding
IPR001236	Oxidoreductase
IPR001239	Cleavage / Inhibitor
IPR001241	Binding
IPR005737	Binding
IPR001243	Binding
IPR001250	Binding
IPR014628	Binding
IPR016305	Binding
IPR001254	Cleavage
IPR015420	Cleavage
IPR001258	Binding / Protein
IPR001261	Cleavage
IPR001265	Binding
IPR001287	Binding
IPR001292	Binding
IPR001293	Binding
IPR001298	Binding / Protein
IPR001299	Binding
IPR001304	Binding / Sugar
IPR033816	Binding / Sugar
IPR033987	Binding / Sugar
IPR033988	Binding / Sugar
IPR033989	Binding / Sugar
IPR033990	Binding / Sugar
IPR033991	Binding / Sugar
IPR033992	Binding / Sugar
IPR034007	Binding / Sugar
IPR034008	Binding / Sugar
IPR034010	Binding / Sugar
IPR034011	Binding / Sugar
IPR001313	Binding
IPR001314	Cleavage
IPR003966	Cleavage
