interpro	Class
IPR010489	Transferase
IPR010502	Hydrolase
IPR010502	Binding / Sugar
IPR019248	Hydrolase
IPR019248	Binding / Sugar
IPR010504	Binding
IPR010506	Binding / Protein
IPR010507	Binding
IPR010524	Binding
IPR010525	Binding
IPR010526	Unknown
IPR010531	Binding
IPR010532	Binding
IPR010534	Binding
IPR010536	Unknown
IPR010542	Binding
IPR010575	Binding
IPR010578	Binding
IPR010585	Binding
IPR010600	Cleavage / Inhibitor
IPR010603	Binding
IPR010603	Stabilisation / Oligomerisation
IPR010606	Transferase
IPR010606	Binding
IPR010611	Hydrolase
IPR010614	Binding
IPR010615	Kinase
IPR010622	Kinase
IPR010660	Unknown
IPR010662	Hydrolase
IPR010666	Binding
IPR010675	Transferase
IPR010711	Binding
IPR010712	Binding
IPR010714	Binding / Protein
IPR010744	Binding
IPR010758	Oxidoreductase
IPR010798	Binding / Ligand
IPR010832	Cleavage / Inhibitor
IPR010886	Binding
IPR010895	IG-like
IPR010909	Unknown
IPR010928	Binding
IPR010932	Binding
IPR010935	Binding / Protein
IPR010963	Transferase
IPR011291	Binding
IPR010966	Binding
IPR010978	Binding
IPR019499	Binding
IPR015866	Binding
IPR010979	Binding
IPR015886	Binding
IPR010981	Stabilisation / Oligomerisation
IPR010982	Binding
IPR027910	Binding
IPR010992	Binding
IPR010995	Binding
IPR010997	Binding
IPR010999	Retroviral
IPR014834	Retroviral
IPR011001	Binding / Lipid
IPR011009	Kinase
IPR002575	Kinase
IPR022359	Kinase
IPR004147	Kinase
IPR015275	Kinase
IPR015897	Kinase
IPR011010	Binding
IPR013500	Binding
IPR011011	Binding
IPR010911	Binding
IPR017455	Binding
IPR031946	Binding
IPR011013	Binding / Sugar
IPR014718	Binding / Sugar
IPR015179	Binding / Sugar
IPR015364	Binding / Sugar
IPR007444	Binding / Sugar
IPR011682	Binding / Sugar
IPR003159	Binding / Sugar
IPR004199	Binding / Sugar
IPR015220	Binding / Sugar
IPR025887	Binding / Sugar
IPR011016	Binding
IPR011029	Binding / Protein
IPR001315	Binding / Protein
IPR004020	Binding / Protein
IPR029397	Binding / Protein
IPR011030	Unknown
IPR014797	Binding
IPR011038	Binding
IPR015304	Binding
IPR012674	Binding
IPR002351	Binding
IPR010788	Binding
IPR011040	Unknown
IPR033654	Unknown
IPR011042	Binding / Protein
IPR013658	Binding / Protein
IPR032485	Binding / Protein
IPR011047	Alcohol dehyd.
IPR027295	Alcohol dehyd.
IPR011050	Unknown
IPR012332	Unknown
IPR015331	Unknown
IPR012334	Unknown
IPR000070	Unknown
IPR002022	Unknown
IPR004898	Unknown
IPR022442	Unknown
IPR011052	Cleavage / Inhibitor
IPR011059	Hydrolase
IPR011061	Cleavage / Inhibitor
IPR024793	Cleavage / Inhibitor
IPR011068	Binding
IPR011104	Kinase
IPR011105	Hydrolase
IPR011109	Binding
IPR011113	Binding
IPR011120	Binding
IPR011124	Binding
IPR011125	Binding
IPR011126	Kinase
IPR011128	Oxidoreductase
IPR011129	Binding
IPR011141	Transferase
IPR011145	Hydrolase
IPR011149	Binding
IPR011161	Binding / Peptide
IPR029287	Binding / Peptide
IPR011162	Binding / Peptide
IPR014745	Binding / Peptide
IPR000353	Binding / Peptide
IPR011177	Binding
IPR011178	Binding
IPR011179	Binding
IPR011224	Transferase
IPR011237	Binding
IPR011244	Transferase
IPR011249	Binding
IPR011251	Oxidoreductase
IPR024011	Oxidoreductase
IPR011254	Oxidoreductase
IPR011259	Binding / Protein
IPR011260	Binding
IPR011262	Stabilisation / Oligomerisation
IPR011264	Binding
IPR011287	Transferase
IPR011289	Binding
IPR011302	Binding
IPR011310	Hydrolase / Phospho
IPR011325	Binding
IPR011330	Hydrolase / Sugar
IPR017625	Hydrolase / Sugar
IPR027291	Hydrolase / Sugar
IPR011333	Binding / Protein
IPR016073	Binding / Protein
IPR011336	Binding
IPR011337	Binding
IPR011338	Binding
IPR011339	Binding
IPR011364	Binding
IPR011364	Transferase
IPR011381	Transferase
IPR011390	Binding / Protein
IPR011398	Binding
IPR011399	Binding
IPR011400	Binding
IPR011402	Binding
IPR011420	Binding
IPR011488	Binding
IPR022964	Binding
IPR011489	Binding / Protein
IPR011498	Binding / Protein
IPR011505	Cleavage
IPR011505	Binding
IPR011511	Binding / Protein
IPR011537	Binding
IPR011541	Binding
IPR011544	Binding
IPR011545	Binding
IPR011546	Cleavage
IPR011546	Binding
IPR011564	Binding
IPR011576	Binding
IPR011578	Binding
IPR015334	Binding
IPR011598	Stabilisation / Oligomerisation
IPR032201	Stabilisation / Oligomerisation
IPR011604	Binding
IPR019080	Binding
IPR017482	Binding
IPR011625	Unknown
IPR011639	Binding
IPR011651	Binding / Ligand
IPR011656	Unknown
IPR011658	Binding / Sugar
IPR011663	Binding
IPR011671	Transferase
IPR011684	Binding
IPR011697	Hydrolase
IPR011705	Oligomerisation
IPR011706	Binding
IPR011706	Oxidoreductase
IPR011707	Binding
IPR011712	Stabilisation / Oligomerisation
IPR011722	Binding
IPR011760	Binding
IPR011761	Binding
IPR004218	Binding
IPR005479	Binding
IPR005483	Binding
IPR009720	Binding
IPR011095	Binding
IPR013650	Binding
IPR013651	Binding
IPR020561	Binding
IPR011773	Binding
IPR011788	Binding
IPR011789	Binding
IPR011791	Binding
IPR011794	Binding
IPR011797	Binding
IPR011811	Hydrolase
IPR011822	Binding
IPR011837	Hydrolase
IPR022844	Hydrolase
IPR011844	Cleavage
IPR011844	Binding
IPR011856	Binding
IPR006677	Binding
IPR011879	Binding
IPR011907	Binding
IPR011913	Kinase
IPR011914	Kinase
IPR011930	Binding / Protein
IPR011931	Binding
IPR011940	Binding
IPR011946	Binding
IPR011948	Hydrolase / Phospho
IPR011988	Oligomerisation
IPR011989	Binding
IPR033133	Binding
IPR033712	Binding
IPR002553	Binding
IPR024574	Binding
IPR032682	Binding
IPR011990	Binding / Protein
IPR033745	Binding / Protein
IPR011991	Binding / DNA
IPR015265	Binding
IPR016032	Binding
IPR022687	Binding
IPR012318	Binding
IPR015191	Binding
IPR015285	Kinase
IPR014879	Binding
IPR000591	Binding / DNA
IPR003725	Binding / DNA
IPR001346	Binding / DNA
IPR002577	Binding / DNA
IPR002831	Binding / DNA
IPR004409	Binding / DNA
IPR005149	Binding / DNA
IPR006630	Binding / DNA
IPR009718	Binding / DNA
IPR013196	Binding / DNA
IPR014793	Binding / DNA
IPR015102	Binding / DNA
IPR015163	Binding / DNA
IPR015198	Binding / DNA
IPR000792	Binding / DNA
IPR027395	Binding / DNA
IPR031655	Binding / DNA
IPR031725	Binding / DNA
IPR032298	Binding / DNA
IPR033439	Binding / DNA
IPR011992	Binding / Calcium
IPR014741	Binding
IPR019577	Binding
IPR015359	Binding / Calcium
IPR011993	Binding / Lipid, Targeting
IPR000156	Binding / Lipid, Targeting
IPR000697	Binding / Lipid, Targeting
IPR033927	Binding / Lipid, Targeting
IPR002404	Binding / Lipid, Targeting
IPR006019	Binding / Lipid, Targeting
IPR033930	Binding / Lipid, Targeting
IPR012466	Binding / Lipid, Targeting
IPR012544	Binding / Lipid, Targeting
IPR013876	Binding / Lipid, Targeting
IPR018980	Binding / Lipid, Targeting
IPR033931	Binding / Lipid, Targeting
IPR011998	Stabilisation / Oligomerisation
IPR012006	Binding
IPR012008	Binding
IPR012052	Binding
IPR012090	Binding
IPR012091	Cleavage
IPR012091	Binding
IPR012094	Binding
IPR012131	Binding
IPR022695	Binding
IPR012133	Binding
IPR012133	Oxidoreductase
IPR020920	Binding
IPR014080	Binding
IPR023989	Binding
IPR014080	Oxidoreductase
IPR023989	Oxidoreductase
IPR012144	Binding
IPR012147	Transferase
IPR014079	Transferase
IPR014081	Transferase
IPR012151	Hydrolase / Phospho
IPR012151	Binding / Protein
IPR012152	Hydrolase / Phospho
IPR012153	Hydrolase / Phospho
IPR012156	Binding
IPR012162	Binding
IPR014069	Binding
IPR012171	Oxidoreductase
IPR012178	Binding
IPR012188	Oxidoreductase
IPR012188	Binding
IPR012220	Binding
IPR012227	Binding
IPR027133	Transferase
IPR027139	Transferase
IPR027128	Binding
IPR027130	Binding
IPR027136	Binding
IPR027138	Binding
IPR012233	Kinase
IPR012265	Hydrolase / Phospho
IPR012266	Hydrolase / Phospho
IPR012280	Stabilisation / Oligomerisation
IPR012289	Hydrolase
IPR029474	Hydrolase
IPR012290	Binding / Ligand
IPR004866	Hydrolase
IPR012293	Binding
IPR012308	Binding
IPR012313	Binding
IPR012314	Cleavage
IPR012314	Binding
IPR012319	Binding
IPR012336	Oxidoreductase
IPR013740	Oxidoreductase
IPR013766	Oxidoreductase
IPR002109	Oxidoreductase
IPR014025	Oxidoreductase
IPR011899	Oxidoreductase
IPR011906	Oxidoreductase
IPR033658	Oxidoreductase
IPR011649	Oxidoreductase
IPR012941	Oxidoreductase
IPR005788	Oxidoreductase
IPR024253	Oxidoreductase
IPR012337	Binding
IPR001584	Binding
IPR006133	Binding
IPR006641	Binding
IPR028231	Binding
IPR032639	Binding
IPR013520	Binding
IPR015242	Binding
IPR015361	Binding
IPR019288	Binding
IPR024567	Binding
IPR033390	Binding
IPR020189	Binding
IPR011615	Binding
IPR015367	Binding
IPR012348	Oxidoreductase
IPR012349	Binding
IPR012349	Oxidoreductase
IPR019920	Binding
IPR019920	Oxidoreductase
IPR012392	Transferase
IPR012500	Cleavage
IPR012500	Binding
IPR012510	Binding
IPR012532	Binding
IPR012541	Binding
IPR012542	Binding
IPR012561	Unknown
IPR012562	Binding
IPR012582	Binding
IPR012601	Binding
IPR012608	Factor
IPR012653	Transferase
IPR012677	Binding
IPR014789	Binding
IPR014886	Binding
IPR015245	Binding
IPR012678	Binding
IPR024794	Binding
IPR012704	Binding
IPR012712	Binding
IPR012727	Oxidoreductase
IPR012751	Binding
IPR012754	Binding
IPR012755	Binding
IPR012756	Binding
IPR012757	Binding
IPR012758	Binding
IPR012759	Binding
IPR012761	Binding
IPR012768	Hydrolase
IPR012771	Binding
IPR012777	Binding
IPR012779	Binding
IPR012780	Binding
IPR012781	Binding
IPR012784	Binding
IPR012787	Binding
IPR012794	Binding
IPR012795	Binding
IPR012796	Binding
IPR012827	Binding
IPR012833	Oxidoreductase
IPR012839	Oxidoreductase
IPR023880	Oxidoreductase
IPR023912	Oxidoreductase
IPR030905	Oxidoreductase
IPR033974	Oxidoreductase
IPR012845	Binding
IPR028617	Binding
IPR012850	Binding
IPR012853	Transferase
IPR012882	Oxidoreductase
IPR012884	Binding
IPR012886	Binding
IPR012886	Transferase
IPR012890	Binding
IPR012896	Unknown
IPR012915	Binding
IPR012919	Skipped?
IPR012920	Transferase
IPR012928	Cleavage
IPR012934	Binding
IPR012935	Binding
IPR012951	Oxidoreductase
IPR012957	Binding
IPR012958	Binding
IPR012959	Binding
IPR012962	Binding
IPR012967	Stabilisation / Oligomerisation
IPR012993	Kinase
IPR013010	Binding
IPR013016	Cleavage
IPR013023	Oxidoreductase
IPR014359	Oxidoreductase
IPR016206	Oxidoreductase
IPR016207	Oxidoreductase
IPR013026	Binding / Protein
IPR013049	Binding
IPR013082	Binding
IPR013083	Binding
IPR018957	Binding
IPR022723	Binding
IPR031790	Binding
IPR013085	Binding
IPR013087	Binding
IPR015094	Binding
IPR019485	Binding
IPR013088	Binding
IPR013094	Hydrolase
IPR013098	IG
IPR013105	Binding / Protein
IPR013111	Binding / Protein
IPR013112	Oxidoreductase
IPR013118	Oxidoreductase
IPR013121	Oxidoreductase
IPR013123	Transferase
IPR013128	Cleavage
IPR015644	Cleavage
IPR015645	Cleavage
IPR033157	Cleavage
IPR033158	Cleavage
IPR033159	Cleavage
IPR033160	Cleavage
IPR033163	Cleavage
IPR033164	Cleavage
IPR013131	Oxidoreductase
IPR013146	Binding
IPR013151	IG
IPR013158	Binding
IPR013162	IG
IPR013164	Binding
IPR013171	Binding
IPR013188	Binding
IPR013192	Binding
IPR013215	Binding
IPR013216	Transferase
IPR031164	Transferase
IPR013237	Binding
IPR013249	Binding
IPR013257	Transferase
IPR013263	Binding
IPR013273	Cleavage
IPR013273	Binding
IPR013274	Cleavage
IPR013275	Cleavage
IPR013276	Cleavage
IPR013277	Cleavage
IPR013274	Binding
IPR013275	Binding
IPR013276	Binding
IPR013277	Binding
IPR013319	Hydrolase
IPR002594	Hydrolase
IPR013320	Binding / Sugar
IPR004124	Binding / Sugar
IPR005052	Binding / Sugar
IPR013189	Binding / Sugar
IPR014895	Binding / Sugar
IPR015289	Binding / Sugar
IPR015344	Binding / Sugar
IPR033123	Binding / Sugar
IPR013323	Transferase
IPR013323	Binding
IPR013324	Binding
IPR013325	Binding
IPR013328	Oxidoreductase
IPR013752	Oxidoreductase
IPR006109	Oxidoreductase
IPR015814	Oxidoreductase
IPR029154	Oxidoreductase
IPR013344	Binding
IPR013345	Binding
IPR013352	Binding
IPR013430	Binding
IPR013462	Binding
IPR013483	Binding
IPR013485	Binding
IPR013497	Binding
IPR013498	Binding
IPR013499	Binding
IPR013503	Binding
IPR013503	Kinase
IPR013506	Binding
IPR013517	Unknown
IPR013519	Unknown
IPR013522	Binding
IPR013530	Binding
IPR013563	Binding
IPR013572	Binding
IPR013576	Factor
IPR013580	Oxidoreductase
IPR013601	Transferase
IPR013625	Binding / Protein
IPR033928	Binding / Protein
IPR033929	Binding / Protein
IPR013638	Binding
IPR013644	Binding / Protein
IPR013649	Other
IPR013653	Transferase
IPR013670	Binding
IPR013683	Hydrolase / Phospho
IPR013694	Cleavage / Inhibitor
IPR013695	Kinase
IPR013697	Binding
IPR013700	Binding
IPR013703	Cleavage
IPR013705	Transferase
IPR013733	Binding
IPR013754	Stabilisation / Oligomerisation
IPR013757	Binding
IPR013758	Binding
IPR013759	Binding
IPR013761	Binding
IPR015316	Binding
IPR013762	Binding
IPR024456	Binding
IPR013768	Binding
IPR013780	Binding / Sugar
IPR015340	Binding
IPR031319	Binding / Sugar
IPR015156	Binding / Sugar
IPR015165	Binding / Sugar
IPR015167	Binding / Sugar
IPR015261	Binding / Sugar
IPR015279	Binding / Sugar
IPR019492	Binding / Sugar
IPR031919	Binding / Sugar
IPR032091	Binding / Sugar
IPR033452	Binding / Sugar
IPR013781	Hydrolase / Sugar
IPR015883	Hydrolase
IPR022790	Hydrolase
IPR011583	Hydrolase / Sugar
IPR003790	Hydrolase / Sugar
IPR011100	Hydrolase / Sugar
IPR025275	Hydrolase / Sugar
IPR025277	Hydrolase / Sugar
IPR031330	Hydrolase / Sugar
IPR033453	Hydrolase / Sugar
IPR013783	IG-like
IPR001102	IG-like
IPR031669	IG-like
IPR032052	IG-like
IPR032699	IG-like
IPR024303	IG-like
IPR032879	IG-like
IPR033764	IG-like
IPR013784	Binding / Sugar
IPR002044	Binding / Sugar
IPR029413	Binding / Sugar
IPR013787	Binding / Calcium
IPR013789	Kinase
IPR013802	Binding
IPR013802	Transferase
IPR013803	Cleaved
IPR013806	Unknown / Kringle
IPR000562	Unknown / Kringle
IPR013810	Binding
IPR013812	Hydrolase
IPR013819	Binding
IPR013847	Binding
IPR013848	Transferase
IPR013856	Cleavage
IPR013858	Binding
IPR013872	Binding / Protein
IPR013896	Kinase
IPR013912	Binding
IPR013970	Binding
IPR016588	Binding
IPR013980	Binding / Protein
IPR011106	Binding / Protein
IPR013983	Oxidoreductase
IPR013983	Binding
IPR013985	Binding
IPR013992	Binding
IPR013998	Binding
IPR014001	Binding / DNA
IPR011492	Binding / DNA
IPR014017	Hydrolase
IPR014026	Oxidoreductase
IPR014027	Oxidoreductase
IPR014044	Unknown
IPR014258	Unknown
IPR014064	Hydrolase / Phospho
IPR014102	Oxidoreductase
IPR014154	Binding
IPR014178	Binding
IPR014185	Binding
IPR014200	Binding
IPR014209	Binding
IPR014212	Binding
IPR014218	Binding
IPR014222	Oxidoreductase
IPR014233	Binding
IPR014236	Binding
IPR014241	Binding
IPR014278	Binding
IPR014279	Binding
IPR014281	Binding
IPR014284	Binding
IPR014286	Binding
IPR014292	Transferase
IPR014293	Binding
IPR014296	Binding
IPR014311	Binding
IPR014313	Oxidoreductase
IPR014313	Binding
IPR014322	Binding
IPR014288	Binding
IPR014352	Binding / Lipid, Targeting
IPR019748	Binding / Protein
IPR014375	Binding
IPR014392	Hydrolase / Phospho
IPR014412	Cleavage
IPR014436	Binding
IPR014615	Binding
IPR014635	Binding
IPR014644	Transferase
IPR014646	Binding
IPR014710	Isomerase / Sugar
IPR018490	Binding / CAMP
IPR011051	Isomerase / Sugar
IPR001538	Isomerase / Sugar
IPR006045	Isomerase / Sugar
IPR008894	Isomerase / Sugar
IPR009327	Isomerase / Sugar
IPR013096	Isomerase / Sugar
IPR024060	Isomerase / Sugar
IPR025974	Isomerase / Sugar
IPR025979	Isomerase / Sugar
IPR014711	Binding
IPR014715	Binding
IPR014716	Binding
IPR014727	Binding
IPR014728	Cleavage / Inhibitor
IPR015113	Cleavage / Inhibitor
IPR022414	Kinase
IPR014751	Binding
IPR014756	IG
IPR000336	IG
IPR027287	IG
IPR032397	IG
IPR033926	IG
IPR003172	IG
IPR033916	IG
IPR033917	IG
IPR004197	IG
IPR004302	IG
IPR005102	IG
IPR005203	IG
IPR008015	IG
IPR013518	IG
IPR013540	IG
IPR014749	IG
IPR014755	IG
IPR014880	IG
IPR015202	IG
IPR015219	IG
IPR023295	IG
IPR024792	IG
IPR032640	IG
IPR014758	Binding
IPR023457	Binding
IPR023458	Binding
IPR014760	Unknown
IPR014766	Binding
IPR014766	Cleavage
IPR014776	Transferase
IPR014777	Transferase
IPR014780	Binding
IPR014782	Cleavage
IPR014782	Binding
IPR014783	Oxidoreductase
IPR014784	Oxidoreductase
IPR024548	Oxidoreductase
IPR014800	Binding
IPR014815	Binding
IPR014822	Binding
IPR014827	Transferase
IPR014828	Transferase
IPR014829	Transferase
IPR014853	Unknown
IPR014868	Binding
IPR014891	Binding
IPR014905	Binding
IPR014930	Kinase
IPR014944	Binding
IPR015008	Binding
IPR015011	Binding
IPR015013	Binding
IPR015014	Binding
IPR015022	Kinase
IPR015083	Transferase
IPR015095	Transferase
IPR015103	Hydrolase / Phospho
IPR015107	Transferase
IPR015109	Binding
IPR015115	Binding
IPR015123	Kinase
IPR015123	Cleavage / Inhibitor
IPR015124	Transferase
IPR015129	Binding / Protein
IPR015152	Binding / Protein
IPR015190	Binding
IPR015211	Cleavage
IPR015211	Binding
IPR015225	Binding
IPR015237	Hydrolase
IPR015240	Binding
IPR015249	Binding
IPR015255	Unknown
IPR015262	Binding
IPR015264	Binding
IPR015277	Binding
IPR015280	Binding
IPR015284	Binding / Protein
IPR015291	Binding
IPR015307	Binding
IPR015311	Hydrolase
IPR015320	Binding
IPR015321	Binding / Protein
IPR015323	Oxidoreductase
IPR015324	Transferase
IPR016522	Transferase
IPR015327	Binding
IPR015339	Binding / Sugar
IPR015341	Hydrolase
IPR015341	Binding
IPR015346	Binding
IPR015349	Binding
IPR015352	Cleavage
IPR015352	Binding / Protein
IPR015373	IG
IPR015375	Hydrolase
IPR015376	Hydrolase
IPR015376	Binding
IPR015387	Hydrolase / Phospho
IPR015405	Binding
IPR015407	Binding
IPR015413	Binding
IPR033911	Binding
IPR015423	Binding
IPR015446	Cleavage
IPR015455	Binding
IPR015476	Factor
IPR015507	Transferase
IPR004512	Transferase
IPR028589	Transferase
IPR028590	Transferase
IPR015510	Hydrolase
IPR017331	Hydrolase
IPR015519	Kinase
IPR015550	Factor
IPR015555	Cleavage / Inhibitor
IPR015555	Binding
IPR015556	Cleavage / Inhibitor
IPR015557	Cleavage / Inhibitor
IPR015559	Binding
IPR015567	Cleavage
IPR015567	Binding
IPR015570	Binding
IPR015571	Binding
IPR015590	Oxidoreductase
IPR000965	Oxidoreductase
IPR015656	Binding
IPR015660	Binding
IPR015666	Binding
IPR015699	Binding
IPR015701	Oxidoreductase
IPR015710	Binding
IPR015711	Binding
IPR015722	Transferase
IPR017111	Transferase
IPR015726	Kinase
IPR015754	Binding
IPR015782	Kinase
IPR015782	Binding
IPR015783	Kinase
IPR015797	Hydrolase
IPR029119	Hydrolase
IPR033650	Hydrolase
IPR015798	Binding
IPR015799	Binding
IPR015800	Binding
IPR015802	Binding
IPR015815	Oxidoreductase
IPR006398	Oxidoreductase
IPR011548	Oxidoreductase
IPR030876	Oxidoreductase
IPR015816	Unknown
IPR015817	Unknown
IPR015818	Unknown
IPR015819	Unknown
IPR015820	Binding
IPR015833	Binding
IPR015845	Oxidoreductase
IPR015848	Binding
IPR015849	Binding
IPR015875	Oxidoreductase
IPR015880	Binding
IPR015881	Oxidoreductase
IPR015887	Binding
IPR015892	Binding
IPR015893	Binding
IPR004111	Binding
IPR011075	Binding
IPR015292	Binding
IPR013570	Binding
IPR013573	Binding
IPR015915	Binding / Protein
IPR015917	Cleavage
IPR015919	Binding
IPR006644	Binding
IPR015923	Factor
IPR015939	Oxidoreductase
IPR015943	Binding / Protein
IPR017986	Binding / Protein
IPR011045	Binding / Protein
IPR031920	Binding / Protein
IPR032401	Binding / Protein
IPR027946	Binding / Protein
IPR015955	Oxidoreductase
IPR022616	Hydrolase
IPR022383	Oxidoreductase
IPR016014	Unknown
IPR016015	Unknown
IPR016017	Factor
IPR016024	Binding
IPR001263	Binding
IPR014768	Binding
IPR016020	Binding
IPR016021	Binding
IPR032192	Binding
IPR016026	Hydrolase
IPR000792	Binding
IPR016040	Binding / NADP
IPR000594	Binding / NADP
IPR000846	Binding / NADP
IPR003781	Binding / NADP
IPR003869	Binding / NADP
IPR033922	Binding / NADP
IPR006115	Binding / NADP
IPR006140	Binding / NADP
IPR006151	Binding / NADP
IPR006367	Binding / NADP
IPR008030	Binding / NADP
IPR012302	Binding / NADP
IPR013120	Binding / NADP
IPR010080	Binding / NADP
IPR013332	Binding / NADP
IPR013968	Binding / NADP
IPR019665	Binding / NADP
IPR022674	Binding / NADP
IPR028939	Binding / NADP
IPR031640	Binding / NADP
IPR016054	Unknown
IPR016054	Binding
IPR016061	Binding
IPR016075	Binding
IPR016085	Cleavage / Inhibitor
IPR021140	Cleavage / Inhibitor
IPR016090	Hydrolase / Phospholipid
IPR016092	Binding
IPR031108	Binding
IPR011298	Binding
IPR023063	Binding
IPR016093	Unknown
IPR016094	Binding
IPR016130	Hydrolase / Phospho
IPR016131	Binding
IPR016156	Oxidoreductase
IPR029324	Stabilisation / Oligomerisation
IPR004099	Oxidoreductase
IPR028202	Oxidoreductase
IPR016160	Oxidoreductase
IPR016161	Oxidoreductase
IPR016162	Oxidoreductase
IPR016163	Oxidoreductase
IPR016177	Binding
IPR016179	Factor
IPR016181	Other
IPR000182	Other
IPR031165	Other
IPR016182	Binding
IPR016186	Binding / Sugar
IPR000538	Binding / Sugar
IPR013117	Binding / Sugar
IPR016187	Binding / Sugar
IPR005138	Binding / Sugar
IPR005532	Binding / Sugar
IPR011448	Binding / Sugar
IPR016191	Binding
IPR016192	Binding
IPR016192	Hydrolase
IPR016197	Other
IPR000953	Other
IPR008251	Other
IPR017984	Other
IPR025995	Other
IPR016201	Unknown
IPR033760	Unknown
IPR016208	Oxidoreductase
IPR016218	Transferase
IPR023427	Transferase
IPR016224	Transferase
IPR016230	Kinase
IPR016234	Kinase
IPR016235	Kinase
IPR016237	Kinase
IPR016238	Kinase
IPR016239	Kinase
IPR016241	Kinase
IPR016242	Kinase
IPR016250	Kinase
IPR028539	Kinase
IPR016254	Kinase
IPR016263	Binding
IPR016269	Transferase
IPR016274	Hydrolase / Phospho
IPR016276	Hydrolase / Phospho
IPR016277	Hydrolase / Phospho
IPR016280	Binding
IPR028390	Binding
IPR028400	Binding
IPR028403	Binding
IPR016288	Hydrolase
IPR016293	Cleavage
IPR016293	Binding
IPR028693	Cleavage
IPR028705	Cleavage
IPR028697	Cleavage
IPR028718	Cleavage
IPR028700	Cleavage
IPR028716	Cleavage
IPR028709	Cleavage
IPR028735	Cleavage
IPR028711	Cleavage
IPR028723	Cleavage
IPR028726	Cleavage
IPR028729	Cleavage
IPR028733	Cleavage
IPR028697	Binding
IPR028693	Binding
IPR028709	Binding
IPR028718	Binding
IPR028729	Binding
IPR028716	Binding
IPR028726	Binding
IPR028732	Cleavage
IPR028732	Binding
IPR016294	Cleavage
IPR016294	Binding
IPR016304	Binding
IPR016304	Isomerase / unfolded protein
IPR016335	Hydrolase / Phospho
IPR016336	Hydrolase / Phospho
IPR027262	Hydrolase / Phospho
IPR016343	Binding
IPR016344	Binding
IPR016359	Binding
IPR027255	Binding
IPR016363	Binding / Sugar
IPR016365	Binding
IPR016371	Binding
IPR016397	Cleavage / Inhibitor
IPR016400	Binding
IPR016424	Binding
IPR016438	Binding
IPR016440	Binding
IPR016440	Oxidoreductase
IPR023957	Binding
IPR023957	Oxidoreductase
IPR016446	Oxidoreductase
IPR016461	Transferase
IPR014088	Transferase
IPR016473	Binding
IPR013404	Binding
IPR016479	Transferase
IPR016527	Binding
IPR016569	Binding
IPR016615	Hydrolase
IPR030299	Hydrolase
IPR030298	Hydrolase
IPR016653	Transferase
IPR016667	Hydrolase / Phospho
IPR016679	Binding
IPR016681	Binding
IPR016691	Transferase
IPR016700	Binding
IPR016718	Transferase
IPR016730	Binding
IPR016764	Transferase
IPR016814	Binding
IPR016848	Binding
IPR016858	Transferase
IPR016914	Transferase
IPR017047	Factor
IPR017050	Cleavage
IPR031067	Cleavage
IPR017051	Cleavage
IPR017052	Cleavage
IPR017053	Binding
IPR017066	Transferase
IPR017090	Kinase
IPR017097	Factor
IPR027285	Factor
IPR030680	Factor
IPR017100	Factor
IPR017132	Binding
IPR017155	Transferase
IPR017184	Kinase
IPR017194	Kinase
IPR017194	Binding
IPR017224	Oxidoreductase
IPR017226	Binding
IPR017234	Transferase
IPR017235	Transferase
IPR017238	Binding
IPR017253	Binding
IPR017276	Binding
IPR017322	Kinase
IPR017325	Binding
IPR017328	Binding
IPR017332	Cleavage / Inhibitor
IPR017335	Transferase
IPR017348	Kinase
IPR017352	Binding
IPR017354	Binding
IPR017356	Cleavage / Inhibitor
IPR017361	Hydrolase / Phospho
IPR017368	Cleavage
IPR017368	Binding
IPR017375	Binding
IPR017400	Binding
IPR017406	Kinase
IPR017407	Kinase
IPR017409	Kinase
IPR017416	Binding
IPR017425	Kinase
IPR017428	Kinase
IPR017448	Binding / Protein
IPR017449	Binding
IPR017472	Transferase
IPR017476	Oxidoreductase
IPR028356	Oxidoreductase
IPR028357	Oxidoreductase
IPR028358	Oxidoreductase
IPR028359	Oxidoreductase
IPR032891	Oxidoreductase
IPR017512	Binding
IPR017568	Transferase
IPR017570	Binding
IPR017583	Kinase
IPR005926	Kinase
IPR022463	Kinase
IPR017593	Binding
IPR017660	Binding
IPR017679	Binding
IPR017681	Binding
IPR017682	Binding
IPR017705	Binding
IPR017714	Binding
IPR027514	Binding
IPR017752	Binding
IPR017760	Binding
IPR017813	Transferase
IPR017839	Binding
IPR017840	Oxidoreductase
IPR017849	Hydrolase / Phospho
IPR017850	Hydrolase / Phospho
IPR000917	Hydrolase / Phospho
IPR032158	Hydrolase / Phospho
IPR017852	Transferase
IPR017853	Hydrolase / Sugar
IPR025195	Hydrolase / Sugar
IPR017854	Binding
IPR022710	Binding
IPR023587	Binding
IPR017857	Binding
IPR017867	Hydrolase / Phospho
IPR002115	Hydrolase / Phospho
IPR017868	Binding / Protein
IPR017868	IG-like
IPR017868	IG
IPR017878	Binding
IPR017897	Binding
IPR017905	Oxidoreductase
IPR017910	Binding
IPR017924	Binding
IPR017927	Oxidoreductase
IPR008333	Oxidoreductase
IPR013113	Oxidoreductase
IPR017938	Oxidoreductase
IPR017941	Oxidoreductase
IPR005805	Oxidoreductase
IPR012748	Oxidoreductase
IPR017881	Oxidoreductase
IPR017942	Binding / Lipid
IPR017943	Binding / Lipid
IPR017947	Binding
IPR017948	Factor
